First Name,Last Name,PPOS,TGID,Height,Weight
Chanz,Wiggins,3,108,0,47
Khalil,Wilkins,0,112,0,30
Davi,Belfort,0,108,0,25
Hayes,Johnson,5,42,0,140
Kenric,Vanier,3,54,0,35
Mike,Tenney,12,47,0,135
Keelan,Smith,3,58,0,45
Josiah,Brown,3,76,0,15
Tyler,Mason,1,108,0,34
Mason,Wade,7,21,0,130
Brandon,Lewis,18,52,0,21
Jay,Hughes,6,58,0,150
Rex,Guthrie,18,58,0,30
Kari,Jackson,13,76,0,66
Myles,Turpin,17,109,0,20
Timir,Hickman-Co,14,28,0,64
Demarvin,Shyan,11,37,0,100
Antyan,Smith,14,42,0,40
Jayden,Scott,1,63,0,52
Ike,Esoniune,15,72,0,65
Brock,Stevenson,4,74,0,60
De'Andre,Cook,12,76,0,109
Zachary,Crothers,11,77,0,75
Joe,Knapp,7,37,0,119
Quintavion,Norhan,15,42,0,45
I'Marion,Stewart,3,51,0,21
Darin,Green,1,56,0,64
Chad,Bolling,18,63,0,30
Maverick,Noonan,13,58,0,75
Gregory,Fultz,10,72,0,86
Dominique,Wilson-Wri,1,73,0,29
Smiley,Bradford,17,78,0,25
Kamden,Poe,16,52,0,25
Mario,Craver,3,55,0,21
Jon,Murray-Shi,14,62,0,64
Noah,Jenkins,17,108,0,40
Luke,Ferrelli,14,17,0,55
Champ,Thompkins,11,39,0,92
Tyrell,Sheeting,3,51,0,26
Evan,Tamor,16,58,0,15
Evan,Taylor,16,58,0,15
Shakim,Homyard,16,58,0,32
Cornelius,Clark,1,110,0,36
Keith,Wimbley,19,13,0,26
Nate,Wilder,4,21,0,65
Khristian,Martin,0,47,0,55
Julian,Johnson,4,54,0,65
Daevon,Carmichael,3,56,0,26
Brody,Barnhardt,18,63,0,28
Jivan,Baly,16,63,0,6
Kary,Cunningham,16,73,0,35
Donovan,Hamilton,3,78,0,30
Deric,Dandy,10,108,0,59
Israel,Boyce,16,112,0,36
Bubba,Hampton,3,3,0,15
Nicholas,Rodriguez,14,56,0,30
Aidan,Lynch,5,108,0,116
Chandavian,Bradley,13,91,0,61
Quinnen,Ford,16,44,0,28
Darren,Kramer,12,49,0,129
Jacey,Anderson,3,49,0,20
Oscar,Ford,9,49,0,148
Fame,Ijeboi,1,54,0,40
Traveon,Wright,16,55,0,20
Moritz,Schhoranze,6,77,0,130
Maxwell,Richardson,14,87,0,66
Bryan,Jackson,1,102,0,60
Camden,Hardy,11,109,0,63
Rickey,Williams,13,112,0,55
Jacobl,Oliphant,16,72,0,15
Demeco,Kennedy,11,78,0,125
Zyian,Moultrie-G,15,88,0,80
Tayshaun,Burney,16,109,0,5
Champ,Thompson,12,21,0,120
Jack,Small,5,24,0,125
Samuel,Raynor,16,63,0,15
Khmori,House,13,110,0,27
Tye,Horton,5,28,0,122
Charlton,Luniewski,7,52,0,129
Jack,Varsen,4,68,0,80
Daniel,Harrell,4,106,0,75
Penei,Fuimaono,12,110,0,180
Millie,Nelson,16,72,0,10
Willie,Nelson,16,72,0,10
Jaden,Ball,6,78,0,140
Makai,Byerson,10,112,0,75
Jayshain,Ross,13,3,0,60
Lloyd,Irvin,16,47,0,25
Dominick,Sun,16,106,0,15
Andrey,Hanchuk,12,108,0,123
Stacy,Bey,13,4,0,40
Jaylen,Thompson,16,52,0,27
Brandon,Booker,14,83,0,45
Ramel,Hard,6,55,0,132
Justin,Highsmith,15,110,0,59
Caleb,Redd,14,42,0,55
Ben,York,5,107,0,125
Sire,Gaines,1,12,0,-160
Harry,Stewart,1,39,0,-160
Landon,Scruggs,1,42,0,-160
Isaac,Brown,1,44,0,-160
Joshua,Ringer,1,50,0,-160
Davion,Gause,1,62,0,-160
Trent,Parrish,1,87,0,-160
Trae'Von,Dunbar,1,112,0,-160
Dexter,Bateman,1,114,0,-160
Bo,Burklow,4,161,0,90
Troy,Nathan,6,77,0,142
Shamar,McIntosh,18,47,0,25
Paul,Billups,3,62,0,35
Mick,Hollings,4,62,0,65
Nick,Hollings,4,62,0,65
Shamar,Rigby,3,78,0,10
Omar,Payne,6,35,0,140
Luke,Mergott,14,24,0,64
Durante,Bellinger,3,3,0,60
Ronnie,Phillips,4,31,0,69
Antonio,Gaskins,18,35,0,40
Nolan,DeLong,13,37,0,50
Jaylen,Love,3,67,0,26
Jalen,Pope,3,72,0,45
Juelz,Goff,1,77,0,30
Jakori,McFarland,1,67,0,37
Cameron,Monteiro,3,77,0,20
Manuel,Banks,6,33,0,150
Kaidon,Whidby,14,161,0,40
Seth,Clifton,4,55,0,85
Sam,Mattingly,14,87,0,65
Jorrell,Reddick,18,106,0,42
Matthew,Vado,9,4,0,120
CJ,Kubah-Tayl,14,21,0,60
Trevor,Szymanski,8,47,0,120
Javarius,Green,3,62,0,35
David,Eastern,13,37,0,64
David,Washington,3,42,0,25
Wyatt,Hook,4,52,0,75
Leroy,Roker,17,70,0,10
Alvin,Williamson,16,106,0,21
Chris,Beckham,9,106,0,150
Kyle,Hardee,4,27,0,85
Whit,Hafer,4,56,0,70
Lorenzo,Lashley,15,24,0,61
Trey,Horne,3,31,0,15
Tee,McCutcheon,3,52,0,25
Tre,Sinclair-V,3,68,0,25
Syril,Toll,15,73,0,75
Roddy,Orr,15,37,0,62
Dre,Kirkpatric,17,3,0,32
Emery,Godfrey,1,54,0,53
Jacob,Simpson,4,54,0,65
Rodney,Fields,1,72,0,27
Tre,Griffiths,3,72,0,40
Izaiah,Williams,3,93,0,12
Victor,Watkins,9,22,0,155
Max,Parrott,5,78,0,113
Jason,Temple,15,31,0,61
Antonio,Millerton,16,39,0,7
Caleb,Nitta,6,108,0,129
Zion,Armstead,16,37,0,30
Boone,Morris,13,40,0,62
Nigel,Maynard,16,77,0,26
Michael,Merdinger,0,62,0,50
Layne,Swafford,13,27,0,91
Kade,Reynoldson,20,24,0,20
Kille,Rodriguez,4,42,0,80
Luke,Dunne,20,74,0,65
Ze'Bryan,Davis,14,4,0,66
Julius,Morgan,14,24,0,67
Davon,Watkins,6,47,0,155
Eric,Roberts,14,56,0,75
Khamani,Alexander,1,188,0,-160
Darren,Burley,1,5,0,-160
Jaylen,Boardley,1,7,0,-160
Dylan,Riley,1,12,0,-160
Skyy,Priestley,1,17,0,-160
Deon,Reader,1,20,0,-160
Jahlil,Hageman,1,36,0,-160
Justus,Savage,1,223,0,-160
Devon,Rice,1,40,0,-160
Maurki,James,1,164,0,-160
Terrence,Logan,1,75,0,-160
Jaheim,Merriweath,1,78,0,-160
Jaden,Hart,1,88,0,-160
Colt,Simon,1,18,0,-160
Tay,Hobbs,1,111,0,-160
Wayshawn,Parker,1,111,0,-160
Mekhai,White,3,47,0,25
Charlie,Becker,3,36,0,25
Jerrid,Washington,12,13,0,135
Aden,Tagaloa-Ne,18,112,0,40
Henry,Gaines,12,4,0,131
Steven,Owens,11,4,0,92
Watson,Young,6,21,0,125
Keyari,James,14,47,0,68
Cam'ron,Richardson,17,87,0,25
CJ,Brown,3,6,0,34
Joe,Barna,13,35,0,100
Devin,Henderson,18,161,0,30
Zyion,Jarrett,3,55,0,30
Myles,Brown,14,107,0,35
Brody,Kosin,4,36,0,77
Adam,Krueger,1,37,0,38
Elijah,Caldwell,3,84,0,35
Niles,Tarrant,3,88,0,42
Deion,Gatewood,12,33,0,120
Ace,McReynolds,3,76,0,40
Jontez,Holland,4,22,0,67
Justin,Burnett,15,16,0,68
Alex,Taylor,3,62,0,30
Bo,Simmons-La,14,22,0,65
Trelain,Maddox,1,31,0,45
Dahny,Okoye,15,71,0,95
Brian,Breaston,16,107,0,34
Mack,Drummond,1,108,0,35
Jaydon,Wright,1,54,0,65
Wil,Dell,3,76,0,31
Zach,Smith,15,83,0,47
Nate,Gabriel,12,112,0,155
Daniel,Ndukwe,11,36,0,65
Blake,Heckmann,5,161,0,130
Ishmael,Findlayter,10,108,0,93
Ronald,Moore,16,161,0,36
Sam,Carpenter,19,77,0,36
Kirk,Kennedy,15,114,0,84
Brock,Townsend,1,19,0,-160
TJ,Engleman,1,25,0,-160
Diondre,Hodges,1,33,0,-160
Adam,Kreuger,1,37,0,-160
Steven,Blanco,1,86,0,-160
Isiah,Jones,1,63,0,-160
Kiefer,Sibley,1,64,0,-160
Edd,Guerrier,1,80,0,-160
Caleb,Largo,1,94,0,-160
Viron,Ellison,1,97,0,-160
Devin,Green,1,101,0,-160
Alvon,Isaac,1,144,0,-160
Eli,Sisson,4,161,0,70
Josh,Ford,4,72,0,80
Caden,Brown,13,88,0,55
Andrey,Angulo,3,107,0,28
Makhi,Towns-Moor,3,71,0,35
Dylan,Stephenson,13,87,0,75
Jayvaun,Russell,14,39,0,76
Kyeran,Garcia,14,22,0,60
Nahmier,Robinson,16,22,0,10
Kristyane,Gregory,12,161,0,110
Roice,Cleeland,7,110,0,137
Connie,Hewitt,4,161,0,100
Josiah,McLaurin,3,47,0,20
Asaad,Waseem,3,22,0,15
Javion,Randall,16,87,0,15
Malakai,Murphy,16,22,0,30
Dontrae,Henderson,16,36,0,18
Kaden,Shield-Dut,1,229,0,-160
Thaddeus,Horn,1,29,0,-160
Bryce,Baker,1,193,0,-160
Malachi,McKinnon,1,40,0,-160
Caden,Williams,1,161,0,-160
Dominik,Ball,1,59,0,-160
Donte,David,1,217,0,-160
Jalen,Washington,1,85,0,-160
Parker,Parrish,1,211,0,-160
Larry,Edwards,13,99,0,80
Brandon,Phelps,3,4,0,30
Tommy,Reese,13,56,0,60
Ahman,Covington,17,27,0,27
Antonio,Mayes-Bynu,3,37,0,36
Tyrus,Wheeler,3,44,0,7
Kyan,Berry-John,3,114,0,10
DJ,Bentley,3,78,0,20
Malik,Shaw,3,31,0,51
George,Fowler,3,106,0,18
Blue,Taylor,4,33,0,90
Derrick,Parker-Bra,3,24,0,28
Ted,Wrobles,19,22,0,21
Christian,Zachary,3,63,0,18
Daxton,Lamont,1,230,0,-160
Andre,Devine,1,223,0,-160
Khristian,Lando,1,223,0,-160
Jamal,Clemens,1,59,0,-160
Ashton,Gray,1,64,0,-160
Winston,Malone,1,160,0,-160
Josh,Forbes,1,90,0,-160
BB,Donald,3,31,0,13
Carter,Shaw,3,99,0,35
Ta'Ron,Haile,3,88,0,15
Tedric,Fisher,3,4,0,52
Kylan,Brantley,3,37,0,60
Jaylen,Dial,3,54,0,25
Kameron,Courtney,3,107,0,20
Darien,Webb,3,88,0,24
Bo,McCalister,3,40,0,15
Takye,Heath,3,108,0,5
Dohovan,Dozier,10,161,0,85
Chris,Bass,19,31,0,23
Jalyn,Godfrey,3,31,0,25
Rex,Lahr,6,161,0,110
Harren,Abraham,20,6,0,9
Kellen,Lyles,19,42,0,24
Anthony,Reddick,15,47,0,46
Keshawn,McGee,1,229,0,-160
Austin,Clemson,1,53,0,-160
Duncan,Brune,1,69,0,-160
Shyheim,Salley,1,98,0,-160
Jayden,Moore,3,24,0,6
Rashad,Renfro,3,77,0,44
Eli,Tongue,2,22,0,71
Hayden,Eligon,3,67,0,35
Phillip,Hammond,20,35,0,60
CJ,Jackson,13,45,0,54
Lorenzo,Cowan,13,102,0,70
J.J.,Bradley,1,193,0,-160
Jaylen,Priester,1,82,0,-160
Mario,Landino,13,36,0,106
Cole,Ballard,0,39,0,65
Greg,Hilliard,3,13,0,29
Chad,Shaffer,19,35,0,29
Josh,Farris,19,4,0,29
Matthias,Dunn,19,16,0,45
Mason,Carter,13,106,0,47
Owen,Fehr,20,63,0,15
DJ,Clifford,1,178,0,-160
George,Burnett,1,164,0,-160
Zeke,Clay,1,82,0,-160
Shaq,McBath,1,100,0,-160
Dallin,Johnson,12,16,0,140
Pellam,Liu,1,32,0,-160
De'Andre,Lawry,1,179,0,-160
Mitch,Boothe,1,43,0,-160
Seneca,Moore,13,161,0,47
Keona,Peat,5,5,0,100
Morris,Hollister,20,33,0,43
Bret,Harris,1,61,0,-160
Trei,Kibbles,1,79,0,-160
Jeremy,Browning,3,161,0,40
Callahan,Blair,15,106,0,53
Brandon,Payne,3,161,0,20
Gilbert,Baptiste,1,57,0,-160
Jonorian,Foots,13,31,0,65
Myles,Forristall,13,31,0,61
Henry,Engel,12,35,0,105
Ashton,Bracewell,13,28,0,57
Cole,Harszalek,4,5,0,55
Tyler,Mustain,13,4,0,75
Will,Snellings,4,30,0,60
Harrison,Clemmer,7,9,0,100
Zarius,Wells,9,4,0,145
Ryan,Algrim,4,54,0,65
David,Lynch,0,77,0,55
Tate,Kendall,4,108,0,71
Tyson,Short,17,45,0,48
